subject,object,provided_by,predicate,api_name,api_id
SmallMolecule,Disease,,treats,Text Mining Targeted Association API,978fe380a147a8641caf72320862697b
SmallMolecule,PhenotypicFeature,,treats,Text Mining Targeted Association API,978fe380a147a8641caf72320862697b
Procedure,Disease,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
SmallMolecule,Disease,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Procedure,PathologicalProcess,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Procedure,PhenotypicFeature,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
SmallMolecule,PhenotypicFeature,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
SmallMolecule,PathologicalProcess,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Polypeptide,Disease,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Drug,Disease,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Polypeptide,PathologicalProcess,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
ChemicalEntity,Disease,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Drug,PathologicalProcess,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Polypeptide,PhenotypicFeature,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
Gene,Disease,infores:semmeddb,treats,BioThings SEMMEDDB API,1d288b3a3caf75d541ffaae3aab386c8
SmallMolecule,Disease,infores:aeolus,treats,MyChem.info API,8f08d1446e0bb9c2b323713ce83e2bd3
SmallMolecule,Disease,infores:chembl,approved_to_treat,MyChem.info API,8f08d1446e0bb9c2b323713ce83e2bd3
SmallMolecule,Disease,infores:drugcentral,approved_to_treat,MyChem.info API,8f08d1446e0bb9c2b323713ce83e2bd3
SmallMolecule,Disease,infores:drugcentral,treats,MyChem.info API,8f08d1446e0bb9c2b323713ce83e2bd3
SmallMolecule,Disease,infores:idisk,treats,BioThings iDISK API,32f36164fabed5d3abe6c2fd899c9418
ChemicalEntity,Disease,,treats,SPOKE KP for TRAPI 1.2,7f70cdfaeb801501da08dacc294e8b9f
SmallMolecule,Disease,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
ChemicalEntity,Disease,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
MolecularMixture,Disease,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
SmallMolecule,PhenotypicFeature,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
ChemicalEntity,PhenotypicFeature,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
MolecularMixture,PhenotypicFeature,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
SmallMolecule,Protein,,treats,Automat DrugCentral (trapi v-1.2.0),03c1982f2e3ba3710da20aa9c01a00f6
SmallMolecule,Disease,,ameliorates,Automat CTD (trapi v-1.2.0),8956303f273baaa76202ff3195bd6a64
ChemicalEntity,Disease,,ameliorates,Automat CTD (trapi v-1.2.0),8956303f273baaa76202ff3195bd6a64
