AssociationCount	SEMMEDDBSubject	SEMMEDBSubjectName	SEMMEDDBPredicate	SEMMEDDBObject	SEMMEDDBObjectName	BiolinkSubject	BiolinkPredicate	BiolinkObject	ComponentMissing	ValidEdge?
9308143	dsyn	Disease or Syndrome	PROCESS_OF	humn	Human	biolink:Disease	biolink:occurs_in		humn	False
2903876	fndg	Finding	PROCESS_OF	humn	Human	biolink:DiseaseOrPhenotypicFeature	biolink:occurs_in		humn	False
2875028	neop	Neoplastic Process	PROCESS_OF	humn	Human	biolink:Disease	biolink:occurs_in		humn	False
1663835	topp	Therapeutic or Preventive Procedure	TREATS	podg	Patient or Disabled Group	biolink:Procedure	biolink:treats	biolink:Cohort	None	False
1308988	patf	Pathologic Function	PROCESS_OF	humn	Human	biolink:PathologicalProcess	biolink:occurs_in		humn	False
1296464	topp	Therapeutic or Preventive Procedure	USES	phsu	Pharmacologic Substance	biolink:Procedure	biolink:has_input	biolink:Drug	None	False
1253918	topp	Therapeutic or Preventive Procedure	TREATS	dsyn	Disease or Syndrome	biolink:Procedure	biolink:treats	biolink:Disease	None	False
1247733	cell	Cell	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein	biolink:Cell	biolink:location_of	biolink:Polypeptide	None	True
1231648	mobd	Mental or Behavioral Dysfunction	PROCESS_OF	humn	Human	biolink:Disease	biolink:occurs_in		humn	False
1193244	bpoc	Body Part, Organ, or Organ Component	PART_OF	mamm	Mammal	biolink:GrossAnatomicalStructure	biolink:part_of		mamm	False
1116463	sosy	Sign or Symptom	PROCESS_OF	humn	Human	biolink:PhenotypicFeature	biolink:occurs_in		humn	False
1089007	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	neop	Neoplastic Process	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Disease	None	True
1045985	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Polypeptide	None	True
1018288	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	patf	Pathologic Function	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:PathologicalProcess	None	True
971550	bdsu	Body Substance	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein		biolink:location_of	biolink:Polypeptide	bdsu	False
911432	menp	Mental Process	PROCESS_OF	humn	Human	biolink:Behavior	biolink:occurs_in		humn	False
885157	topp	Therapeutic or Preventive Procedure	TREATS	neop	Neoplastic Process	biolink:Procedure	biolink:treats	biolink:Disease	None	False
880674	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	dsyn	Disease or Syndrome	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:Disease	None	True
853097	phsu	Pharmacologic Substance	TREATS	dsyn	Disease or Syndrome	biolink:Drug	biolink:treats	biolink:Disease	None	True
804303	cell	Cell	PART_OF	bpoc	Body Part, Organ, or Organ Component	biolink:Cell	biolink:part_of	biolink:GrossAnatomicalStructure	None	True
767000	bpoc	Body Part, Organ, or Organ Component	LOCATION_OF	fndg	Finding	biolink:GrossAnatomicalStructure	biolink:location_of	biolink:DiseaseOrPhenotypicFeature	None	True
755651	humn	Human	LOCATION_OF	aapp	Amino Acid, Peptide, or Protein		biolink:location_of	biolink:Polypeptide	humn	False
752665	dsyn	Disease or Syndrome	PROCESS_OF	mamm	Mammal	biolink:Disease	biolink:occurs_in		mamm	False
675892	phsu	Pharmacologic Substance	TREATS	podg	Patient or Disabled Group	biolink:Drug	biolink:treats	biolink:Cohort	None	False
656321	inpo	Injury or Poisoning	PROCESS_OF	humn	Human	biolink:PathologicalProcess	biolink:occurs_in		humn	False
645965	orgf	Organism Function	PROCESS_OF	humn	Human	biolink:PhysiologicalProcess	biolink:occurs_in		humn	False
636310	topp	Therapeutic or Preventive Procedure	USES	aapp	Amino Acid, Peptide, or Protein	biolink:Procedure	biolink:has_input	biolink:Polypeptide	None	False
613371	bpoc	Body Part, Organ, or Organ Component	PART_OF	humn	Human	biolink:GrossAnatomicalStructure	biolink:part_of		humn	False
602154	dsyn	Disease or Syndrome	ISA	dsyn	Disease or Syndrome	biolink:Disease	biolink:subclass_of	biolink:Disease	None	False
